id,first_name,last_name,age,parent_1,parent_1 occupation,parent_1_education,parent_2,parent_2_education,parent_2_occupation,phone,household_income,number_siblings,other_household_members,mode_transport,attendance,days_membership,school_tardiness,after_school,after_school_external,primary_student_language,primary_household_language,at_risk,homeless,special_education,state_agencies_involved,reduced_lunch,suspensions,mcas,reading_levels,attended-preschool
63734914,Jacinthe,Denis,9,Lindsay,Arts,none,Dale,associate,Service,978-503-1448,$100000 to $149999,1,,walk,180,180,0,,,english,english,,,,,,,A,Partially_Meeting,
48466452,Syman,Buglar,8,Yoshiko,,none,Vanya,,,978-038-6317,$150000 or more,3,,car,180,180,0,,,english,english,,,,,TRUE,,,Not_Meeting,
32291267,Beth,Nunn,18,Wenona,Management,none,,,,978-309-0616,$15000 to $19999,4,,car,180,180,0,TRUE,Discovery,english,english,,,TRUE,TRUE,TRUE,,NI,Partially_Meeting,
1927282,Nestor,Sodory,6,Ronnie,Other,bachelor's,Cristobal,none,Science,978-951-4575,$100000 to $149999,4,,car,180,180,0,,,english,english,,,,,,,,Partially_Meeting,
14544721,Cordelia,Whate,14,Nessi,Management,associate,Benjamen,associate,Office,978-699-1016,$150000 or more,3,,car,180,180,0,,,english,english,,,,,TRUE,,MED,Partially_Meeting,
35764526,Alane,Punter,11,Jo ann,Office,associate,Wolfgang,none,Service,978-911-1148,$15000 to $19999,3,3,car,180,180,0,,,english,english,,,,,TRUE,,P,Partially_Meeting,
52340879,Tobe,Gregine,7,Nelle,Office,none,Donalt,associate,Office,978-814-5562,$150000 or more,1,,bike,180,180,0,,,english,english,,,,,TRUE,,LEP,,
21798272,Timi,Palethorpe,13,Micky,Business,none,,,,978-864-7380,$25000 to $34999,2,,car,180,180,0,,,english,english,,,,,,,A,,
44046518,Wally,Custed,7,Vita,Production,trade,Anatol,associate,Science,978-110-7975,$35000 to $49999,3,,bike,180,180,0,,,spanish,english,,,,,TRUE,,A,Partially_Meeting,TRUE
39784246,Rozanna,Howden,16,Anne-corinne,Sales,none,Hayyim,trade,Science,978-259-7514,$100000 to $149999,2,,car,180,180,0,,,spanish,english,,,,,,,P,Exceeding,TRUE
63438943,Shelden,Baff,5,Cassi,Office,none,Christoforo,associate,Management,978-351-9310,$50000 to $74999,2,,car,180,180,0,,,spanish,english,,,,,TRUE,,,Meeting,
46168550,Fawn,D'Alwis,16,Dusty,Science,associate,Cointon,none,Sales,978-323-9482,$75000 to $99999,1,,car,162,180,0,,,english,english,,,,,TRUE,,W,Not_Meeting,
43655655,Filmer,Castellino,10,Camellia,Business,none,Wayland,,Other,978-842-7583,$20000 to $24999,3,,bike,180,180,0,,,spanish,english,,,,,TRUE,,ABS,Not_Meeting,
83496258,Magnum,Witul,11,Addi,Natural Resources,associate,,,,978-465-6644,$50000 to $74999,3,,car,180,180,0,,,spanish,english,,,TRUE,,TRUE,,A,Exceeding,
44709382,Mellisent,Lindegard,18,Christabella,Sales,associate,Phillip,none,Construction,978-812-6986,$150000 or more,4,,walk,555,180,0,,,english,english,,,,,,,ABS,Not_Meeting,
52656439,Israel,Compson,5,Milli,Business,none,Emelen,associate,Arts,978-750-8653,$35000 to $49999,4,,car,180,180,0,,,english,english,TRUE,,,,,,,Not_Meeting,
25256990,Barby,Coles,6,Shanda,Maintenance,masters,Vale,none,Science,978-895-8389,$25000 to $34999,0,,car,180,180,0,,,english,spanish,,,,,,,,Meeting,
27242158,Nevil,Lydiate,11,Margret,Maintenance,associate,Carrol,none,,978-552-6517,$100000 to $149999,3,,car,180,180,0,,,english,spanish,,,TRUE,,,,W,Not_Meeting,
26439409,Derek,Braidley,7,Brandais,,associate,Kerry,,Business,978-755-1861,$75000 to $99999,2,4,car,180,180,0,,,english,english,,,,,,,P,Not_Meeting,
16128422,Alejandra,Dumbrall,18,Fernanda,Science,associate,,,,978-140-8013,$75000 to $99999,0,,walk,180,180,0,,,english,english,TRUE,,,,TRUE,,NI,Partially_Meeting,TRUE
6534653,Yancey,Kollas,12,Olenka,,associate,Munmro,,Management,978-839-8790,$150000 or more,1,,car,119,180,0,,,english,english,,TRUE,,,,,NI,Partially_Meeting,TRUE
35188999,Normie,Caldron,10,Janeta,Office,associate,Iosep,none,Other,978-887-2919,$100000 to $149999,2,4,walk,180,180,0,TRUE,Little Sprouts,spanish,english,,,,,,,NI,Not_Meeting,TRUE
79473681,Loutitia,Collocott,16,Daphne,Service,associate,Gram,none,Business,978-401-0276,$150000 or more,0,,car,180,180,0,TRUE,YWCA,english,english,,,,,,,A,Exceeding,
12814216,Valentine,Libby,6,Brinn,Sales,masters,,,,978-752-2493,$5000-$9999,2,,car,119,180,0,,,english,english,,,,,TRUE,,,Partially_Meeting,
38535360,Joletta,Coope,11,Chanda,,associate,Penrod,,Business,978-788-2678,$50000 to $74999,2,,car,180,180,0,,,english,english,TRUE,,,,,,P,,TRUE
56043122,Tillie,Beckett,15,Inessa,,,,,,978-700-1478,$100000 to $149999,4,,car,555,180,0,,,,english,,,,,,,P,Not_Meeting,
78815976,Wally,Moral,12,,Science,none,,,,978-944-9701,$100000 to $149999,4,,car,180,180,0,TRUE,Boys & Girls Club,english,english,,,,,,,P,Partially_Meeting,
78608750,Margret,Revance,6,Lauryn,Transportation,none,Sasha,bachelor's,Construction,978-379-5794,$50000 to $74999,1,,bike,180,180,0,,,spanish,english,,,,TRUE,TRUE,,,Meeting,
85214767,Vassily,Forker,5,Fredra,Office,none,Meryl,none,Office,978-779-4337,$50000 to $74999,2,,car,180,180,0,,,english,english,,,,,,,,Partially_Meeting,
57132991,Alwyn,Fayer,12,Heda,,associate,Eustace,,,978-755-4618,$100000 to $149999,2,,car,180,180,0,,,spanish,english,TRUE,,,,TRUE,,INP,Partially_Meeting,
59749053,Elie,Peeters,7,Chandra,Sales,,Ron,none,,978-336-6601,$25000 to $34999,2,,car,180,180,0,TRUE,Boys & Girls Club,english,english,,,,,TRUE,,,Partially_Meeting,TRUE
84124054,Mychal,Vasichev,12,Natassia,Other,none,Romeo,associate,,978-729-6946,$100000 to $149999,2,,bike,180,180,0,,,english,english,,,,,,,P,Meeting,
69535225,Harrie,Tasseler,17,Sandye,,associate,,,,978-019-4842,$150000 or more,3,,car,85,180,0,,,english,english,,,,,TRUE,,NI,Not_Meeting,
95943852,Issi,Yong,9,Lyda,Natural Resources,associate,Gale,none,Transportation,978-977-0845,$50000 to $74999,2,,car,180,180,0,,,english,english,,,,,TRUE,,NI,Meeting,
36628636,Perren,Alloway,12,Darline,Service,none,Kelby,none,,978-430-0660,$20000 to $24999,3,,car,180,180,0,,,english,english,,,,,TRUE,,NI,Not_Meeting,TRUE
65025346,Nowell,Trivett,15,Arlinda,Natural Resources,none,Mycah,none,,978-983-6555,,1,,car,150,180,0,,,spanish,english,TRUE,TRUE,TRUE,,TRUE,,W,Partially_Meeting,
80993614,Simonette,Gornar,18,Letisha,Natural Resources,,Benito,trade,Office,978-253-5938,$50000 to $74999,3,4,car,180,180,0,,,spanish,english,,,,,TRUE,,P,Partially_Meeting,
51586675,Win,Signe,17,Renae,Sales,bachelor's,,,,978-315-0277,$100000 to $149999,3,,car,180,180,0,,,spanish,spanish,,,,,,,P,Partially_Meeting,
70375417,Phil,Brittle,15,Jilleen,Science,associate,,,,978-279-1448,$150000 or more,1,,car,180,180,0,,,english,english,,,,,,,PRG,Not_Meeting,
27439875,Helaine,Oswal,5,Penni,Office,associate,Franklin,none,Sales,978-310-9299,$75000 to $99999,3,0,car,180,180,0,,,spanish,english,,,,,TRUE,,,Meeting,
61776490,Carlos,Brimblecombe,7,Verene,Other,masters,Ferrel,associate,Sales,978-180-6051,$100000 to $149999,2,,car,180,180,0,,,spanish,english,,,,TRUE,TRUE,,A,Meeting,
63670888,Jaine,Howles,15,Eimile,Office,associate,,,,978-210-3625,$75000 to $99999,0,,car,60,180,0,,,english,english,,,,,TRUE,,P,Meeting,
76127978,Karole,Avieson,15,Sonny,,none,Duky,,Sales,978-282-8995,$25000 to $34999,3,,bike,180,180,0,,,spanish,english,,,,,TRUE,,PRG,Not_Meeting,TRUE
82024668,Esta,Stobbes,18,Mavra,Other,none,Kimball,none,Service,978-522-6778,$35000 to $49999,1,,car,180,180,0,,,english,english,,,,,,,P,Partially_Meeting,
20415841,Toni,Alders,18,Verile,Other,associate,Stuart,associate,Arts,978-656-0544,$75000 to $99999,0,,car,180,180,0,,,english,english,TRUE,,TRUE,,TRUE,,A,Not_Meeting,
78237484,Lorraine,McFie,17,,Transportation,associate,,,,978-578-4174,$100000 to $149999,2,,car,180,180,0,TRUE,Discovery,english,english,,,,,,,NI,Exceeding,TRUE
74260386,Baily,Mountlow,9,Tabbitha,Office,none,Burlie,none,Management,978-897-2044,$35000 to $49999,0,,bike,173,180,0,,,english,english,,,TRUE,,,,P,Meeting,
80294579,Jane,Shillito,8,Merrill,Science,associate,Syman,associate,Service,978-894-3405,$100000 to $149999,2,0,walk,173,180,1,,,english,english,,,,,,,A,Exceeding,
49076293,Vinni,Lobb,17,Elwira,Business,associate,,,,978-261-9029,$20000 to $24999,2,,car,555,180,0,,,spanish,spanish,,,,,,,NI,Not_Meeting,TRUE
41531561,Regine,De Rechter,11,Adel,Sales,associate,Tammie,none,Sales,978-276-7641,$75000 to $99999,0,3,car,180,180,0,,,spanish,spanish,,,,,TRUE,,NI,Not_Meeting,
79579799,Lester,Kubelka,5,Korie,Business,none,Hakeem,none,Business,978-708-8283,$150000 or more,0,,bike,180,180,0,TRUE,Discovery,english,english,,,,,TRUE,,,Meeting,
31378232,Romain,Mapledoram,11,Camel,,bachelor's,,,,978-160-2813,$50000 to $74999,0,,car,180,180,0,,,english,english,,,,,TRUE,,P,Partially_Meeting,
74315071,Quent,Pender,5,Robyn,Management,associate,Alyosha,associate,Maintenance,978-979-1238,$50000 to $74999,3,,car,180,180,0,,,english,spanish,,,,,TRUE,,,Meeting,
40437314,Sergent,Humbie,6,Genia,,none,Bearnard,,,978-323-2703,$100000 to $149999,2,,car,63,180,0,,,english,english,,,,,,,,Not_Meeting,
75374166,Marnie,Tenwick,14,Raynell,Management,trade,,,,978-480-3908,$50000 to $74999,1,2,car,180,180,0,,,english,english,,,TRUE,,TRUE,,A,Exceeding,TRUE
42637808,Margaretha,Garwood,16,Daniella,,associate,Skipper,,Science,978-523-1032,$35000 to $49999,4,,car,180,180,0,TRUE,Discovery,english,english,,,,,TRUE,,P,Meeting,TRUE
82805208,Ronalda,Antonikov,6,Leta,Office,masters,Tuckie,none,Office,978-377-8574,$100000 to $149999,3,,car,180,180,0,,,,english,,,TRUE,,,,,Not_Meeting,TRUE
31968211,Tate,Eltun,18,Fanechka,Business,none,Zacherie,none,Sales,978-368-6160,$100000 to $149999,0,,walk,555,180,0,,,,english,,,,TRUE,TRUE,,W,Not_Meeting,
97590001,Adria,Evins,7,Belicia,,associate,Teddie,,Sales,978-811-8214,$100000 to $149999,4,,walk,180,180,0,,,english,english,,,TRUE,,,,P,Partially_Meeting,
83236265,Pen,Hathwood,15,Daphne,Sales,associate,,,,978-618-4164,$100000 to $149999,2,,car,180,180,0,,,english,english,,,,,,,PRG,Not_Meeting,
46370136,Emmey,Cowden,11,Myrlene,Production,associate,,,,978-297-9483,$15000 to $19999,1,4,walk,555,180,0,,,english,spanish,,,TRUE,,,,P,Partially_Meeting,
20610748,Marinna,Neat,8,Lucinda,Arts,none,Claus,none,,978-119-9979,$50000 to $74999,1,,car,180,180,0,,,spanish,spanish,,,,,,,,Not_Meeting,
71119498,Corene,Sach,15,Nicolea,Construction,associate,,,,978-439-2484,$100000 to $149999,2,,car,180,180,0,,,english,english,,,,,,,P,Partially_Meeting,TRUE
38285682,Karina,Skillman,5,Amalie,Natural Resources,none,,,,978-497-9193,$75000 to $99999,0,,walk,175,180,0,,,english,english,,,,,,,,Not_Meeting,
2973871,Yulma,Martinie,10,Candra,,associate,Talbert,,,978-115-6534,$5000-$9999,2,,car,180,180,0,,,spanish,english,TRUE,,,,TRUE,,P,Meeting,
37437600,Evan,McConigal,11,Adi,Transportation,associate,Jessee,none,Natural Resources,978-844-5958,$50000 to $74999,2,,car,180,180,0,,,english,spanish,,,TRUE,,TRUE,,P,Meeting,
10402866,Friedrich,Tunniclisse,17,Blanca,Sales,none,Warden,none,,978-067-6159,$100000 to $149999,4,,car,180,180,0,,,english,english,,,,,,,P,Meeting,
34548483,Julita,Whylie,14,Domini,Science,none,Cole,none,Maintenance,978-420-9535,$150000 or more,4,,car,180,180,0,,,english,english,,,TRUE,,TRUE,,P,Not_Meeting,TRUE
33498076,Sheppard,Rollett,5,Phylis,Business,none,Cal,,Sales,978-309-1401,$75000 to $99999,2,1,car,555,180,0,,,english,spanish,,TRUE,,,TRUE,,,Meeting,
66037563,Jerry,Sivior,9,Janith,Sales,none,,,,978-499-5575,$150000 or more,1,,car,180,180,0,,,spanish,english,,,,,,,P,Partially_Meeting,
88770567,Iggy,Credland,18,Amalie,Other,associate,Keary,none,Natural Resources,978-350-7430,$75000 to $99999,1,,walk,180,180,0,,,english,english,,,,,TRUE,,NI,Not_Meeting,
52429661,Aubrey,Dorricott,15,Valentia,Arts,none,Jaymie,none,Arts,978-360-8373,$100000 to $149999,3,3,walk,180,180,0,,,english,english,,,,,TRUE,,A,,
76084908,Katti,Sodeau,17,Shandie,Transportation,associate,Itch,associate,,978-326-9508,$75000 to $99999,4,0,walk,180,180,0,,,english,english,,,,TRUE,TRUE,,NI,Partially_Meeting,TRUE
8854023,April,Diego,7,Donna,,associate,Cchaddie,,Office,978-977-6016,$150000 or more,4,,car,180,180,0,,,english,english,,,,,,,NI,Exceeding,TRUE
91445070,Barbara,Whickman,5,La verne,Science,associate,Jeremy,,Office,978-349-7757,$150000 or more,4,,car,180,180,0,,,english,english,,,,,,,,Exceeding,
38465602,Hayyim,Willes,8,Olympe,Science,none,Anselm,none,Management,978-563-9177,$75000 to $99999,4,,car,67,180,0,,,,english,,,TRUE,,,,NI,Meeting,
96264792,Elsinore,Dace,7,Arabelle,Office,trade,,,,978-886-7482,$35000 to $49999,1,1,car,180,180,0,,,english,english,,,,,TRUE,,NI,Partially_Meeting,TRUE
44515108,Bess,Saladine,5,Jodee,Business,associate,,,,978-967-5001,$100000 to $149999,2,,car,180,180,0,,,spanish,english,,,,,TRUE,,,,
9095163,Isiahi,Neale,5,Ina,Arts,associate,,,,978-259-1304,$100000 to $149999,4,,car,175,180,0,,,english,english,,,,,,,,Not_Meeting,
2628727,Tobey,Driutti,12,Lynnea,Sales,none,,,,978-947-4668,$75000 to $99999,3,,car,180,180,0,TRUE,Discovery,spanish,english,,,,TRUE,,,NI,Meeting,
93944129,Windham,Pinnijar,6,Camilla,Maintenance,associate,Noll,none,,978-111-8704,$150000 or more,3,,car,144,180,0,,,english,english,,,,,,,,Not_Meeting,TRUE
41991749,Modesty,Dugget,8,Morna,Business,bachelor's,Ransom,none,Other,978-944-6586,$50000 to $74999,0,,car,180,180,0,TRUE,Boys & Girls Club,spanish,english,TRUE,,,,TRUE,,NI,Meeting,
7487920,Andi,Sarton,11,Latisha,Sales,none,Hervey,none,Transportation,978-094-1140,$75000 to $99999,4,,car,180,180,0,,,english,english,,,,,,,P,Meeting,TRUE
90216355,Wernher,Raden,10,Maribelle,Natural Resources,none,,,,978-582-5823,,4,,car,180,180,0,,,english,spanish,,,,,,,W,Partially_Meeting,TRUE
82138582,Marcille,Lomis,13,Hermina,,none,Godwin,,Construction,978-992-3662,$150000 or more,3,,walk,180,180,0,,,english,english,,,,,TRUE,,P,Not_Meeting,
91638999,Romeo,Annes,6,Dacy,,associate,Raoul,,Sales,978-419-7668,$25000 to $34999,3,,bike,180,180,0,,,english,english,,,,,TRUE,,,Meeting,TRUE
26618216,Kari,Bollins,17,Jessamine,Arts,none,Townie,associate,Business,978-262-3422,$100000 to $149999,4,1,car,180,180,0,,,english,english,,,,,TRUE,,P,Not_Meeting,
99258772,Hersh,McCaughey,8,Emalee,,none,Adamo,none,,978-668-5158,$75000 to $99999,0,,car,180,180,0,,,,english,,,,,TRUE,,P,Meeting,
50374784,Janifer,Lindop,5,Fae,,masters,Faulkner,associate,Maintenance,978-188-9127,$50000 to $74999,1,4,car,74,180,0,,,spanish,spanish,TRUE,,,,,,,Partially_Meeting,TRUE
15779864,Teena,Kesterton,7,Paulina,Other,associate,Cale,associate,Other,978-196-5645,$35000 to $49999,1,,bike,555,180,0,,,english,english,,,TRUE,,TRUE,,P,Exceeding,TRUE
85580349,Philippa,Folkerd,17,Ebba,,none,,,,978-685-7468,$75000 to $99999,3,,bike,180,180,0,,,english,english,,,,,TRUE,,W,Exceeding,TRUE
55570288,Elsy,Benda,8,Karola,Science,associate,Gerry,,Other,978-661-4507,$25000 to $34999,4,,car,180,180,0,,,spanish,english,,,TRUE,,,,NI,,
53080982,Kellby,Sliman,6,Nert,Other,bachelor's,Farly,associate,,978-838-1222,$50000 to $74999,3,,car,94,180,0,,,,english,,,TRUE,,,,,Partially_Meeting,
8586558,Yanaton,Sesser,6,Ynez,,none,Towny,,Management,978-325-7170,$35000 to $49999,2,,car,180,180,0,TRUE,YMCA Greenleaf,spanish,english,,,,,,,,Partially_Meeting,
10267344,Johanna,Wannes,14,Cariotta,Management,none,Asa,trade,,978-115-0299,$35000 to $49999,4,,car,180,180,0,,,english,english,,,,,TRUE,,P,Partially_Meeting,
41491736,Erda,Leffek,18,Laure,,associate,Harcourt,,Arts,978-342-3274,$50000 to $74999,4,2,bike,180,180,0,,,english,english,,,,,,,NI,Not_Meeting,
51122196,Dora,Evensden,16,Marcelia,Sales,associate,,,,978-306-5605,$35000 to $49999,4,,car,180,180,0,,,english,spanish,TRUE,,,,TRUE,,P,,
21643040,Natty,Schiersch,5,Devora,Office,associate,Nealy,,Management,978-975-6600,$150000 or more,1,4,bike,180,180,0,,,english,english,,,,,,,,Partially_Meeting,
19367027,Nata,McCullagh,14,Sidonnie,Management,bachelor's,Sherwin,associate,Natural Resources,978-613-6284,$75000 to $99999,4,,car,180,180,0,,,english,english,,,,,TRUE,,P,Meeting,TRUE
77050364,Jeremiah,Neilus,6,Kathie,Maintenance,associate,,,,978-054-3816,$100000 to $149999,3,,car,180,180,0,,,english,english,,,,,,,,Not_Meeting,TRUE
70065330,Noelyn,Stedman,8,Giselle,Management,associate,Cart,,Management,978-984-6420,$100000 to $149999,2,,walk,180,180,0,,,english,english,,,,,TRUE,,W,Not_Meeting,
32632002,Vidovik,Lachaize,12,Kelcie,Service,bachelor's,Steward,none,,978-030-5251,$50000 to $74999,3,4,car,180,180,0,,,english,english,,,,,,,NI,,TRUE
30563227,Noelyn,Tippin,12,Dusty,,bachelor's,,,,978-545-6153,$100000 to $149999,0,,bike,180,180,0,,,english,english,,,,,,,A,Meeting,
14706128,Viviana,Drews,7,Annabell,Management,none,Bailey,none,Science,978-363-3722,$75000 to $99999,2,,car,180,180,0,,,english,english,,,,,TRUE,,P,Partially_Meeting,TRUE
11664673,Saunder,Giannasi,9,Sofia,,none,Solomon,,,978-880-3105,$5000-$9999,4,,car,180,180,0,,,english,spanish,,,,,TRUE,,P,Partially_Meeting,TRUE
11604547,Doug,Lawrey,13,,Service,none,,,,978-942-1566,$50000 to $74999,3,,car,35,180,0,,,english,english,,,,,TRUE,,W,Not_Meeting,TRUE
90194047,Jorrie,Bontine,13,Dahlia,Business,bachelor's,,,,978-727-4281,$75000 to $99999,3,,car,114,180,0,,,,english,,,,,,,PRG,Meeting,TRUE
77861481,Aviva,Asprey,14,Karissa,Management,none,,,,978-547-7056,$50000 to $74999,1,,car,180,180,0,,,spanish,english,,,,,,,W,,
44883275,Gracie,Wilcocks,16,Alisha,Office,none,Mic,associate,Maintenance,978-733-5695,$100000 to $149999,0,,car,180,180,0,,,english,spanish,,,,,,,P,Not_Meeting,TRUE
1157372,Berty,Eddow,14,Ardelia,Service,associate,Jeffrey,none,Science,978-766-3189,$150000 or more,0,,car,130,180,0,TRUE,Youth Empowerment,,spanish,,,,,,,P,Partially_Meeting,
86762040,Mureil,Leap,12,Bathsheba,Business,associate,,,,978-047-4798,$20000 to $24999,0,,car,180,180,0,,,,english,,,,,,,P,Partially_Meeting,
39166365,Madlin,Bletsor,6,Ada,Business,associate,Shane,none,Office,978-130-4099,$100000 to $149999,2,,car,180,180,0,TRUE,Discovery,english,english,,,,,,,,Partially_Meeting,
47838455,Sidney,Cawdron,15,Isobel,Construction,associate,,,,978-886-8782,$35000 to $49999,2,,walk,180,180,0,,,spanish,spanish,,,,,TRUE,,P,Partially_Meeting,
99117283,Hanni,Wormstone,13,Essa,Maintenance,bachelor's,,,,978-006-5227,$50000 to $74999,1,1,walk,180,180,0,,,english,english,TRUE,,,,,,NI,Partially_Meeting,
70430071,Heath,Hellard,18,Marie-ann,Production,none,,,,978-254-6620,$100000 to $149999,3,,car,180,180,0,,,english,english,TRUE,,,,,,P,Exceeding,
49651634,Terencio,Peele,18,Ilka,Office,associate,,,,978-694-0172,$100000 to $149999,1,,walk,124,180,0,,,english,english,,,,,,,W,Not_Meeting,
57204568,Brett,Djurdjevic,6,Florette,,masters,,,,978-929-9582,$75000 to $99999,1,,bike,180,180,0,,,english,english,,,TRUE,,,,,Exceeding,
23247569,Myrtia,Fright,14,Rita,Transportation,none,Chad,,Office,978-685-0568,$150000 or more,1,,car,180,180,0,,,spanish,english,,,,,TRUE,,NI,Exceeding,
88111889,Emanuele,Tithecote,10,Iona,Office,associate,,,,978-941-3167,$20000 to $24999,2,,car,175,180,0,,,spanish,spanish,,,,,TRUE,,LEP,Meeting,
98500930,Tabb,Cescoti,5,Mirella,,associate,,,,978-693-3319,$50000 to $74999,1,,bike,180,180,0,,,spanish,english,,,,,,,,Meeting,
27786869,Emmy,Hallgate,16,Arlee,Office,associate,Weylin,none,Other,978-712-8174,$150000 or more,1,,car,180,180,0,,,english,spanish,,,,,,,NI,Partially_Meeting,
30594454,Nolan,Fassman,16,Sherill,Management,associate,,,,978-727-1764,$5000-$9999,2,0,bike,96,180,0,,,,english,,,,,TRUE,,NI,Partially_Meeting,TRUE
29211870,Milissent,Seyffert,17,Lita,,associate,,,,978-005-1684,$75000 to $99999,0,1,car,180,180,0,,,english,english,,,TRUE,,TRUE,,P,Not_Meeting,
42019337,Dixie,Kiellor,17,Sal,,associate,Harry,,,978-530-0103,$100000 to $149999,0,,car,180,180,0,,,english,spanish,,,TRUE,,,,NI,Not_Meeting,TRUE
86813357,Ashleigh,Cansdall,18,Annelise,,associate,Dexter,,Other,978-098-6241,$35000 to $49999,1,,car,180,180,0,,,english,english,,,,,,,P,Partially_Meeting,
10994533,Issi,Ostler,17,Anthea,Science,associate,,,,978-871-0605,$75000 to $99999,1,,car,180,180,0,,,english,english,,,,,,,PRG,Not_Meeting,TRUE
18210262,Marc,Vasilic,17,Mikaela,Management,none,,,,978-277-1120,$35000 to $49999,1,1,car,119,180,0,,,spanish,english,,,,,,,P,,
68249903,Ginnie,Ludgrove,7,Daile,,none,,,,978-888-2016,$100000 to $149999,1,,car,180,180,0,,,,english,,,,,,,NI,Exceeding,TRUE
95244075,Roldan,Kornes,18,Electra,Science,associate,Jarrett,associate,Construction,978-641-8379,$75000 to $99999,1,,car,180,180,0,,,english,english,,,,,,,,Not_Meeting,
63856460,Kristoforo,Trahair,9,Deedee,Management,associate,Ronny,masters,Office,978-840-9441,$25000 to $34999,0,,car,180,180,0,,,english,english,,,,,,,NI,Partially_Meeting,
36871735,Pacorro,Portman,14,Ruth,Office,masters,Reinaldo,none,,978-254-0591,$100000 to $149999,2,0,car,555,180,0,,,english,english,,,,,TRUE,,NI,Not_Meeting,
89987227,Suzann,Sallnow,11,Lilli,Production,bachelor's,Geno,masters,Science,978-569-6446,$75000 to $99999,0,1,car,89,180,0,,,spanish,english,TRUE,,,TRUE,TRUE,,P,Not_Meeting,TRUE
18336741,Cherri,Donizeau,7,Petronia,,none,,,,978-119-7805,$25000 to $34999,1,,bike,555,180,0,,,english,english,,,TRUE,,,,P,Meeting,TRUE
57044472,Forrester,Burdge,8,Anna-maria,Natural Resources,none,Garold,none,Science,978-382-8497,$75000 to $99999,4,0,car,168,180,0,,,,spanish,,,,,TRUE,,NI,Not_Meeting,TRUE
94954163,Allina,Olivella,11,Chlo,Science,associate,,,,978-110-5428,$20000 to $24999,0,2,walk,555,180,0,,,spanish,english,,,,,,,A,Not_Meeting,
414222,Jaynell,Haliburton,7,Isabelle,Other,associate,,,,978-847-4350,$25000 to $34999,1,,car,118,180,0,,,,english,TRUE,,,,TRUE,,P,Partially_Meeting,TRUE
20265380,Casandra,Foyston,14,Lesya,,bachelor's,,,,978-361-9691,$75000 to $99999,3,0,car,180,180,0,,,english,english,,,,,TRUE,,W,Partially_Meeting,
54840962,Leonardo,Bodemeaid,11,Idaline,,associate,Christophorus,,Other,978-458-4889,$100000 to $149999,0,,car,123,180,0,TRUE,Discovery,spanish,english,,,,,TRUE,,A,Partially_Meeting,TRUE
45046139,Madalyn,Apted,15,Sher,Other,none,,,,978-789-2238,$150000 or more,2,,car,180,180,0,,,english,english,,,TRUE,,,,P,Not_Meeting,
19951875,Nicko,Huglin,12,Maisey,Service,associate,Fritz,associate,Office,978-952-4563,$150000 or more,1,,car,180,180,0,,,spanish,english,,,,,TRUE,,P,Meeting,
51543617,Noell,Collister,10,Pen,Sales,bachelor's,Cameron,none,Maintenance,978-345-3326,$100000 to $149999,1,,bike,180,180,0,,,english,english,,,,TRUE,TRUE,,A,Exceeding,
